"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"1",0,0,20,0,0.3,0.0143609985975814,0.506040732497535,0,0.0127392571550736,0.497850352992608,0,0,0,86
"2",1,0,20,0,0.3,-0.0183702551325888,0.0288102852847174,1,-0.0170399595027629,0.158972329673143,0,1,0,4
"3",0,1,20,0,0.3,-0.239770401786042,0.162758578116893,0,-0.347573646727203,0.0376454725202114,1,0,1,8
"4",1,1,20,0,0.3,-0.00834217911596052,0.0189281461814886,1,-0.048991629111473,0.0155701410627011,1,1,1,2
"5",0,0,20,0.1,0.3,0.026694742046972,0.484623657443879,0,0.0353027796819694,0.539341197955373,0,0,0,92
"6",1,0,20,0.1,0.3,0.484142924292102,0.0309424081667293,1,0.360357506024922,0.128223477328871,0,1,0,3
"7",0,1,20,0.1,0.3,0.150365042291318,0.0868004580813431,0,0.19403779111153,0.0189896331404788,1,0,1,3
"8",1,1,20,0.1,0.3,-0.0257825210348795,0.0213181202571321,1,-0.0721667651083908,0.00815273043608101,1,1,1,2
"9",0,0,20,0.2,0.3,0.0441688227584377,0.543277433645184,0,0.046328761896952,0.542466735719979,0,0,0,95
"10",1,0,20,0.2,0.3,-0.0619896705706062,0.0213189874329111,1,-0.00123520415638337,0.0516891066068023,0,1,0,2
"11",0,1,20,0.2,0.3,0.406630770365109,0.0752040581453133,0,0.559006992500607,0.0103983336711861,1,0,1,1
"12",1,1,20,0.2,0.3,0.542568502497093,0.0138322874198399,1,0.598808990604766,0.00624948566541217,1,1,1,2
"13",0,0,20,0.3,0.3,0.0619730115314955,0.537407723998727,0,0.0476145499584068,0.57331566685365,0,0,0,89
"14",1,0,20,0.3,0.3,0.511461720960301,0.0249858192659106,1,0.339181643815863,0.158357155971012,0,1,0,6
"15",0,1,20,0.3,0.3,0.168357225187715,0.251128370594369,0,0.249871204020264,0.0250770992885431,1,0,1,4
"16",1,1,20,0.3,0.3,0.502128371426679,0.0240662388085806,1,0.486447229727962,0.0296375668180422,1,1,1,1
"17",0,0,20,0.4,0.3,0.126698142686848,0.445576804256285,0,0.124393650432689,0.463913445055506,0,0,0,92
"18",1,0,20,0.4,0.3,0.527975760709038,0.0208786465120779,1,0.40120248298396,0.0829076198722782,0,1,0,5
"19",0,1,20,0.4,0.3,0.0468444511246177,0.132279242369714,0,0.0150587092136718,0.0411337082062106,1,0,1,2
"20",1,1,20,0.4,0.3,0.542773709296188,0.0134042714640281,1,0.614709689534429,0.00392481487801155,1,1,1,1
"21",0,0,20,0.5,0.3,0.100480618657696,0.49124672792492,0,0.0831147738634136,0.488230496383428,0,0,0,89
"22",1,0,20,0.5,0.3,0.477212270035117,0.0352109021399211,1,0.371847156191994,0.143035887531312,0,1,0,6
"23",0,1,20,0.5,0.3,0.105172236279516,0.213317646715409,0,0.232957231231375,0.0334196422359606,1,0,1,4
"24",1,1,20,0.5,0.3,0.579797925141035,0.007371936892002,1,0.561395137047182,0.0100065023961136,1,1,1,1
"25",0,0,20,0.6,0.3,0.146684240370304,0.453134929575973,0,0.122331725383456,0.465657181308344,0,0,0,76
"26",1,0,20,0.6,0.3,0.504399919083557,0.029864261354166,1,0.301621495300552,0.253455902077913,0,1,0,9
"27",0,1,20,0.6,0.3,0.372251750736491,0.113609802604144,0,0.505732868712473,0.0249668162990789,1,0,1,5
"28",1,1,20,0.6,0.3,0.554165390032099,0.0159881906388032,1,0.613735863857539,0.00985138799518528,1,1,1,10
"29",0,0,20,0.7,0.3,0.136049464057074,0.474057808231134,0,0.0876531720593682,0.539030807120413,0,0,0,81
"30",1,0,20,0.7,0.3,0.545229441295304,0.0197948646122693,1,0.384283283101977,0.102361912697669,0,1,0,6
"31",0,1,20,0.7,0.3,0.398289757001439,0.0859612970303036,0,0.554046082527898,0.0231724068018677,1,0,1,4
"32",1,1,20,0.7,0.3,0.430241044228496,0.0224239919178038,1,0.406578913111778,0.0218392177848256,1,1,1,9
"33",0,0,20,0,0.4,-0.027895053114585,0.525603883205072,0,-0.0399376674217441,0.538367560220323,0,0,0,95
"34",1,0,20,0,0.4,-0.454746631433644,0.0439584033140991,1,-0.187290601297823,0.429123824405147,0,1,0,1
"35",0,1,20,0,0.4,-0.126837329685878,0.154961179028706,0,-0.205488529251064,0.0334300849522938,1,0,1,4
"36",0,0,20,0.1,0.4,0.0369342185198698,0.516194862854738,0,0.0510242782145033,0.52316091366548,0,0,0,94
"37",1,0,20,0.1,0.4,0.539166192594869,0.0235980284568751,1,0.34590596355051,0.136238426939087,0,1,0,2
"38",0,1,20,0.1,0.4,0.0993433876843647,0.0920751013987962,0,0.119200156289551,0.0352041412315028,1,0,1,3
"39",1,1,20,0.1,0.4,0.456297167965573,0.0431529781997337,1,0.456438931404087,0.0430799112929228,1,1,1,1
"40",0,0,20,0.2,0.4,0.0597709893399393,0.507803409410373,0,0.0412918629948654,0.584827637499997,0,0,0,88
"41",1,0,20,0.2,0.4,0.124023269893479,0.0247685808725859,1,0.100625895756658,0.317873498814879,0,1,0,6
