"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"1",0,0,20,0,0.3,0.00269518342848929,0.539185178633829,0,-0.00263651964582368,0.52841964793845,0,0,0,95
"2",0,1,20,0,0.3,-0.327245794523007,0.177816525982126,0,-0.513036948932912,0.0212839271594399,1,0,1,2
"3",1,1,20,0,0.3,0.0825310665437954,0.024752250751957,1,0.181798669036411,0.0211788525558253,1,1,1,3
"4",0,0,20,0.1,0.3,0.0435439282326215,0.518774734333716,0,0.0595817511288025,0.54339080022623,0,0,0,86
"5",1,0,20,0.1,0.3,-0.22240923848009,0.0366038637728844,1,-0.122328554197086,0.255200744073627,0,1,0,4
"6",0,1,20,0.1,0.3,0.217508597343655,0.275860798520097,0,0.388670620867983,0.0264931867579669,1,0,1,7
"7",1,1,20,0.1,0.3,0.576693483830948,0.0087104761203054,1,0.523170331203226,0.0180408359808745,1,1,1,3
"8",0,0,20,0.2,0.3,0.0368309111064933,0.537611029790484,0,0.0290189505289898,0.522175534471837,0,0,0,92
"9",1,0,20,0.2,0.3,0.496196026960892,0.0263814439916776,1,0.363903255871889,0.129465052827968,0,1,0,3
"10",0,1,20,0.2,0.3,0.362906064213575,0.137521298852881,0,0.453808354645825,0.0445514659067584,1,0,1,2
"11",1,1,20,0.2,0.3,0.584824077037036,0.00706004583842653,1,0.556089787192598,0.0186518410454404,1,1,1,3
"12",0,0,20,0.3,0.3,0.0509745513688135,0.513725234442543,0,0.0236248281428034,0.552119299432063,0,0,0,86
"13",1,0,20,0.3,0.3,0.168204385385994,0.0357921668303513,1,0.0957627037293385,0.196053376133715,0,1,0,6
"14",0,1,20,0.3,0.3,0.0498913310231021,0.166461255295194,0,-0.113918887852292,0.0132037704189801,1,0,1,2
"15",1,1,20,0.3,0.3,0.345244040618866,0.0275982683339223,1,0.374029342369526,0.0168944308832373,1,1,1,6
"16",0,0,20,0.4,0.3,0.0755037113346392,0.532055693882062,0,0.0501198451789205,0.519328451890633,0,0,0,91
"17",1,0,20,0.4,0.3,0.288494194149231,0.0322213709855881,1,0.155444234060044,0.197610307018616,0,1,0,5
"18",0,1,20,0.4,0.3,0.224098603033964,0.172614873794351,0,0.164279184915233,0.0371574852854577,1,0,1,3
"19",1,1,20,0.4,0.3,0.538405591861486,0.0143225642256097,1,0.683707351473032,0.000888075715351322,1,1,1,1
"20",0,0,20,0.5,0.3,0.121994947150585,0.470452336659956,0,0.0711333642229778,0.522384704057734,0,0,0,85
"21",1,0,20,0.5,0.3,0.523617094811763,0.0178139190705111,1,0.225071065295852,0.340055456479309,0,1,0,1
"22",0,1,20,0.5,0.3,0.153257559179658,0.259066005639731,0,0.198711167594775,0.0236233175860866,1,0,1,6
"23",1,1,20,0.5,0.3,0.564316311255235,0.0155494819267241,1,0.512186672503976,0.0234290132998709,1,1,1,8
"24",0,0,20,0.6,0.3,0.149433630170876,0.497290036794016,0,0.104727289782298,0.499562313843298,0,0,0,83
"25",1,0,20,0.6,0.3,0.517940333111536,0.0209814511851576,1,0.362357555885087,0.123224541214432,0,1,0,4
"26",0,1,20,0.6,0.3,0.316201632180924,0.187032682023059,0,0.485990727028782,0.0307075607531372,1,0,1,3
"27",1,1,20,0.6,0.3,0.518234872133868,0.0254741845732126,1,0.515415691176006,0.0217048391539968,1,1,1,10
"28",0,0,20,0.7,0.3,0.119010314948931,0.522052495509394,0,0.103692654915071,0.549371787422095,0,0,0,82
"29",1,0,20,0.7,0.3,0.564045555885948,0.0119256907548811,1,0.405612675502201,0.0770809612970457,0,1,0,3
"30",0,1,20,0.7,0.3,0.331418175946976,0.169204353322075,0,0.495262719835644,0.0284334506189097,1,0,1,6
"31",1,1,20,0.7,0.3,0.545084751224653,0.0188552190306669,1,0.567695373223873,0.0139460437795981,1,1,1,9
"32",0,0,20,0,0.4,-0.0317191551118136,0.533666072813319,0,-0.0225964285334672,0.522661930392206,0,0,0,97
"33",0,1,20,0,0.4,0.106277895264259,0.120498201934,0,0.201284494258025,0.0197662069228905,1,0,1,3
"34",0,0,20,0.1,0.4,0.0426381298097897,0.535108129176679,0,0.044648884318074,0.519407026543999,0,0,0,93
"35",1,0,20,0.1,0.4,0.565675530006917,0.00933425615956285,1,0.441643202122492,0.0512360489581805,0,1,0,1
"36",0,1,20,0.1,0.4,0.164480823259546,0.1428062257841,0,0.173997542491382,0.0266066358742533,1,0,1,3
"37",1,1,20,0.1,0.4,-0.167405429810781,0.0153845621778296,1,-0.172035333564118,0.0301760659082112,1,1,1,3
"38",0,0,20,0.2,0.4,0.0672580761612718,0.510488940364661,0,0.0655531401699912,0.503559835119179,0,0,0,94
"39",1,0,20,0.2,0.4,0.537459277357907,0.0169927031990671,1,0.291419782568094,0.230771350392666,0,1,0,2
"40",1,1,20,0.2,0.4,0.245113184782704,0.0251430170234924,1,0.270302448819197,0.0261380488748754,1,1,1,4
"41",0,0,20,0.3,0.4,0.1081516328936,0.506229572573676,0,0.082755590651881,0.513243987865587,0,0,0,86
"42",1,0,20,0.3,0.4,0.495052883236398,0.0297728026995173,1,0.285411574310617,0.253592647460645,0,1,0,8
"43",0,1,20,0.3,0.4,0.321897753953488,0.171912218023516,0,0.522140159647522,0.0200500969972198,1,0,1,3
"44",1,1,20,0.3,0.4,0.547132139660025,0.0252457060845358,1,0.600894068052147,0.017268780375215,1,1,1,3
"45",0,0,20,0.4,0.4,0.103553727695621,0.460787396449117,0,0.0898529259474657,0.536875313310017,0,0,0,87
"46",1,0,20,0.4,0.4,0.499207689485216,0.0251985778118875,1,0.303615547309642,0.21527077953599,0,1,0,3
"47",0,1,20,0.4,0.4,0.199925107755066,0.131238714338446,0,0.299739902659798,0.0297170951082436,1,0,1,5
"48",1,1,20,0.4,0.4,0.0683948216466412,0.0299458886996601,1,0.0405773712710255,0.0231227997514131,1,1,1,5
"49",0,0,20,0.5,0.4,0.138497646630479,0.495463380132462,0,0.102431919891973,0.520932490572752,0,0,0,89
"50",1,0,20,0.5,0.4,0.547795606985029,0.0196129119857962,1,0.359343296143304,0.127300424674583,0,1,0,2
"51",0,1,20,0.5,0.4,0.35163751585006,0.141340723281728,0,0.496085224517953,0.0284490936308102,1,0,1,4
"52",1,1,20,0.5,0.4,0.520012108989893,0.0221367915703738,1,0.563442029952811,0.0118454194634207,1,1,1,5
"53",0,0,20,0.6,0.4,0.166056013901144,0.477393875575246,0,0.0936351880784925,0.515010479777867,0,0,0,71
"54",1,0,20,0.6,0.4,0.508103616834161,0.0253774638392862,1,0.360077127711356,0.126539552951891,0,1,0,11
"55",0,1,20,0.6,0.4,0.231723035754847,0.156285577071509,0,0.338051560314568,0.0255479528610323,1,0,1,7
"56",1,1,20,0.6,0.4,0.563739550107723,0.0137262254892086,1,0.575874323985465,0.0117897693439156,1,1,1,11
"57",0,0,20,0.7,0.4,0.215594255251051,0.365722862005385,0,0.158123861705,0.45555839805395,0,0,0,67
"58",1,0,20,0.7,0.4,0.500750069220308,0.0283119327337446,1,0.331853308003706,0.172071997009661,0,1,0,13
"59",0,1,20,0.7,0.4,0.372952616615045,0.121739187012386,0,0.496304498105764,0.0284972208689684,1,0,1,7
"60",1,1,20,0.7,0.4,0.554602964139896,0.0173456632805533,1,0.544920379310493,0.0180916053994706,1,1,1,13
"61",0,0,20,0,0.5,0.0214914823356136,0.564495830656608,0,-0.000747660418391571,0.552221639253906,0,0,0,94
"62",1,0,20,0,0.5,-0.162648139166309,0.0418058794345217,1,-0.0335687833604538,0.228781687765654,0,1,0,3
"63",0,1,20,0,0.5,0.206718259654169,0.381875128319647,0,0.585775034568988,0.00665019568538328,1,0,1,1
"64",1,1,20,0,0.5,-0.518262597606087,0.021236057548207,1,-0.529840541854219,0.0183466754826379,1,1,1,2
"65",0,0,20,0.1,0.5,0.0650339670072645,0.562830357869904,0,0.0669155404156445,0.550905153681725,0,0,0,87
"66",1,0,20,0.1,0.5,0.0099288517379186,0.0221733538393305,1,0.107180539617643,0.212230216634725,0,1,0,4
"67",0,1,20,0.1,0.5,0.309395850392274,0.199101802525291,0,0.469380057115117,0.0374359888359549,1,0,1,4
"68",1,1,20,0.1,0.5,0.549792139057336,0.0171676860835968,1,0.541180303797801,0.0173478280478176,1,1,1,5
"69",0,0,20,0.2,0.5,0.099991824103795,0.510256281182243,0,0.105864276308097,0.512791427714737,0,0,0,90
"70",1,0,20,0.2,0.5,0.249751549841622,0.0307784535736954,1,0.13522061954968,0.169821236276304,0,1,0,4
"71",0,1,20,0.2,0.5,0.260713015508223,0.273569846031647,0,0.481146297973935,0.0318081684387965,1,0,1,3
"72",1,1,20,0.2,0.5,0.170505780581004,0.0100288449002629,1,0.117595169859676,0.0214872569004633,1,1,1,3
"73",0,0,20,0.3,0.5,0.0905467247421142,0.46683403387873,0,0.0803513589459966,0.467153633763234,0,0,0,87
"74",1,0,20,0.3,0.5,0.535842065377157,0.018706350427588,1,0.395312150695553,0.0873552493245138,0,1,0,5
"75",0,1,20,0.3,0.5,0.13478025434565,0.197714016408641,0,0.102784929214303,0.0238669406577829,1,0,1,5
"76",1,1,20,0.3,0.5,0.562211461378528,0.0111725847553938,1,0.618822728415157,0.0125980228224828,1,1,1,3
"77",0,0,20,0.4,0.5,0.119013022202267,0.475709693527035,0,0.0893107442635502,0.480743583296245,0,0,0,81
"78",1,0,20,0.4,0.5,0.48184518269934,0.0330247615616725,1,0.299865646348738,0.236400434803627,0,1,0,9
"79",0,1,20,0.4,0.5,0.368513720773659,0.118971377356917,0,0.508150750334988,0.0275419237646798,1,0,1,2
"80",1,1,20,0.4,0.5,0.51465505336694,0.0242123433206456,1,0.512024021851781,0.024843266026198,1,1,1,8
"81",0,0,20,0.5,0.5,0.185306752732347,0.394401840256581,0,0.142075813053946,0.446426317059703,0,0,0,74
"82",1,0,20,0.5,0.5,0.500774696791589,0.027714672950147,1,0.33399385435394,0.171426012217495,0,1,0,10
"83",0,1,20,0.5,0.5,0.348480989195149,0.143743903041961,0,0.560447365984478,0.0167432346197033,1,0,1,4
"84",1,1,20,0.5,0.5,0.550179730284315,0.0156471510834263,1,0.564442609836658,0.0162218941805488,1,1,1,12
"85",0,0,20,0.6,0.5,0.189187247010459,0.420207848176494,0,0.150781354916364,0.46253504216988,0,0,0,68
"86",1,0,20,0.6,0.5,0.491751241202095,0.0315724062956942,1,0.315199674548951,0.204004737714478,0,1,0,8
"87",0,1,20,0.6,0.5,0.362072890803791,0.125698576255496,0,0.504005651353879,0.0256704623063095,1,0,1,9
